words,links,capital_words,spam_word_count,is_spam
650,6,17,9,1
167,3,4,4,1
240,1,1,1,0
204,1,0,6,0
83,4,2,1,0
693,9,26,2,1
241,1,5,1,0
286,3,2,2,0
394,3,4,3,1
129,3,14,3,1
253,0,0,2,0
184,9,6,3,1
155,2,25,8,1
926,0,20,8,1
951,9,2,4,1
199,2,8,2,0
116,2,3,1,0
344,1,0,0,0
262,0,3,1,0
70,2,3,0,0
623,4,25,3,1
112,7,6,5,1
363,5,11,5,1
128,2,2,2,0
153,2,10,5,0
514,9,7,7,1
100,3,27,10,1
141,7,19,3,1
742,6,23,6,1
307,9,17,4,1
470,3,5,5,1
577,4,27,9,1
281,1,2,1,0
145,0,0,1,0
33,2,1,1,0
200,1,18,6,1
296,2,1,2,0
57,3,24,6,1
231,0,4,2,0
188,1,1,1,0
325,1,0,2,0
906,7,6,1,1
610,7,4,5,1
633,8,5,10,1
98,2,0,2,0
812,7,11,6,1
430,8,18,6,1
723,6,18,3,1
426,1,3,1,0
919,0,16,8,1
56,2,0,0,0
487,2,0,0,0
725,8,3,9,1
170,2,9,10,1
606,10,17,7,1
174,5,6,2,0
714,3,5,4,1
322,9,2,10,1
217,1,1,2,0
908,3,10,5,1
242,0,1,1,0
126,0,0,1,0
273,2,3,2,0
421,2,3,0,0
139,6,3,7,1
32,4,3,2,0
935,5,28,6,1
151,2,3,6,0
281,2,4,6,1
388,1,9,8,1
937,2,10,7,1
889,9,11,6,1
456,3,11,10,1
336,2,9,9,1
159,2,1,2,0
324,0,8,3,0
721,3,27,3,1
628,2,15,4,1
343,5,0,4,1
259,0,3,1,0
283,0,2,0,0
777,5,0,7,1
369,0,3,2,0
503,5,20,6,1
263,1,3,1,0
114,0,0,0,0
933,6,14,9,1
869,2,18,1,1
880,1,17,7,1
652,8,3,6,1
498,7,10,5,1
717,1,2,2,1
244,2,1,1,0
474,8,23,6,1
60,1,0,0,0
137,0,3,1,0
146,1,3,2,0
198,2,9,2,0
97,7,4,6,1
601,7,3,5,1
896,3,17,8,1
231,8,6,7,1
64,1,5,2,0
149,2,8,0,0
278,5,2,0,0
395,4,6,10,1
300,1,3,0,0
167,2,17,6,1
547,1,14,3,1
120,2,25,9,1
254,8,5,5,1
52,10,2,2,1
806,7,19,3,1
515,3,14,10,1
415,6,29,6,1
299,1,2,2,0
292,2,2,2,0
35,2,2,5,0
776,10,9,3,1
979,5,1,7,1
273,1,1,2,0
198,5,27,0,1
296,1,0,1,0
825,6,21,8,1
150,2,3,1,0
175,2,2,2,0
280,1,0,1,0
130,0,4,2,0
652,3,26,1,1
114,7,11,3,1
49,2,3,2,0
371,3,8,6,0
208,1,2,2,0
62,0,1,1,0
205,1,5,6,0
533,4,5,5,1
795,4,9,6,1
504,8,6,4,1
167,5,1,1,0
74,3,12,4,1
124,1,2,1,0
237,1,9,2,0
520,3,24,0,1
58,2,2,6,0
243,8,30,7,1
212,9,6,8,1
287,2,4,0,0
849,2,8,1,1
28,4,1,1,0
713,5,5,8,1
282,1,1,0,0
129,2,0,1,0
204,2,3,0,0
438,1,1,1,0
172,9,2,6,1
281,2,1,1,0
113,0,6,6,0
291,1,3,1,0
125,8,28,10,1
217,5,0,1,0
609,6,5,2,1
614,9,19,7,1
110,1,2,5,0
203,2,2,5,0
476,2,1,9,1
639,3,17,3,1
393,8,10,3,1
666,3,20,4,1
277,3,0,1,0
454,4,15,2,1
143,1,9,5,1
55,4,10,10,1
137,7,18,7,1
107,0,2,0,0
42,1,3,1,0
95,8,13,3,1
641,1,8,7,1
438,3,1,3,1
65,1,5,2,0
256,4,3,8,1
237,1,1,1,0
316,3,0,7,1
197,2,3,1,0
274,1,3,1,0
62,2,3,0,0
909,1,25,4,1
249,0,3,2,0
649,6,2,0,1
249,0,3,3,0
935,5,28,5,1
253,2,3,2,0
344,0,3,1,0
234,1,3,1,0
230,2,3,1,0
153,0,3,1,0
272,0,1,2,0
258,1,3,1,0
87,0,1,0,0
810,7,16,4,1
281,1,3,0,0
313,1,2,1,0
355,1,15,5,1
240,8,0,9,1
625,3,2,10,1
241,2,3,1,0
183,2,0,1,0
262,1,2,0,0
696,4,3,3,1
153,5,0,0,0
110,1,18,9,1
123,9,2,3,1
429,1,3,4,0
784,4,19,9,1
150,4,16,0,1
200,0,0,2,0
473,1,0,1,0
301,9,6,7,1
199,4,24,8,1
86,0,0,1,0
471,2,9,6,1
425,6,2,5,1
258,2,2,4,0
39,0,0,0,0
554,5,7,6,1
341,2,19,8,1
47,2,0,2,0
816,7,20,10,1
278,0,2,1,0
411,1,3,2,0
614,4,28,0,1
51,1,2,0,0
336,0,22,3,1
774,2,14,7,1
118,3,23,1,1
51,2,6,3,1
125,1,0,0,0
291,3,0,6,0
37,1,2,2,0
339,5,19,9,1
163,2,3,0,0
337,3,9,7,1
100,0,3,1,0
143,8,30,6,1
125,2,2,2,0
429,1,2,2,0
337,1,4,3,1
558,0,10,5,1
108,1,3,2,0
250,4,19,5,1
39,1,2,0,0
810,4,15,5,1
192,7,13,4,1
440,10,5,7,1
188,0,1,0,0
53,2,0,2,0
824,2,4,3,1
764,3,13,3,1
545,10,7,0,1
460,4,0,1,0
275,0,8,4,0
871,3,10,8,1
897,4,8,3,1
161,4,4,1,1
76,3,19,7,1
336,3,3,4,0
42,1,2,2,0
279,2,1,1,0
290,1,7,1,0
657,2,4,3,1
172,1,2,4,0
134,2,22,9,1
326,1,0,1,0
120,3,20,4,1
574,10,21,7,1
162,0,0,0,0
145,6,17,7,1
938,5,30,7,1
160,1,1,2,0
217,0,0,1,0
294,0,1,2,0
125,2,0,2,0
72,1,1,2,0
824,1,0,8,1
38,1,0,1,0
185,1,2,2,0
865,9,5,3,1
272,1,0,0,0
173,2,1,1,0
893,9,6,10,1
192,3,16,3,1
45,0,0,5,0
611,4,21,5,1
779,3,23,8,1
150,0,3,2,0
191,6,10,9,1
291,4,1,10,1
622,9,22,7,1
776,3,30,3,1
816,9,12,5,1
483,0,2,6,0
220,1,2,2,0
279,9,14,3,1
156,2,3,2,0
961,2,23,6,1
172,2,1,1,0
206,1,0,1,0
121,7,5,8,1
227,2,4,1,0
127,2,10,1,0
110,1,2,0,0
520,9,8,10,1
253,0,3,0,0
829,1,6,6,1
134,8,21,1,1
178,8,22,10,1
333,7,14,7,1
156,3,3,0,0
377,1,11,0,1
253,3,18,7,1
166,2,0,1,0
131,2,6,6,1
604,5,23,8,1
681,7,22,1,1
229,3,24,6,1
133,0,10,2,0
415,5,3,1,0
302,9,22,8,1
849,7,0,4,1
192,1,3,0,0
127,2,26,7,1
196,0,1,2,0
325,6,3,8,1
370,0,2,2,0
550,4,19,4,1
259,10,20,7,1
23,3,0,1,0
127,2,5,2,0
714,2,16,9,1
400,3,29,8,1
182,4,17,0,1
108,4,16,9,1
775,5,12,2,1
247,2,0,0,0
116,10,25,7,1
307,7,7,3,1
893,2,12,9,1
318,2,19,10,1
592,9,26,6,1
613,8,15,4,1
754,6,17,9,1
149,6,5,0,1
161,3,9,3,1
435,0,1,2,0
765,1,26,10,1
111,2,7,3,1
618,4,1,6,1
401,0,1,0,0
186,6,12,4,1
156,8,24,2,1
261,0,0,4,0
688,7,29,3,1
225,3,2,1,0
938,2,6,9,1
112,2,2,0,0
349,7,4,1,1
181,2,12,2,1
715,9,28,5,1
125,8,28,4,1
45,2,0,1,0
845,9,28,5,1
29,2,3,5,0
452,3,2,0,1
202,0,3,2,0
882,1,18,9,1
269,5,2,1,0
529,5,9,7,1
171,6,14,10,1
52,2,3,0,0
420,3,20,1,1
67,5,2,2,0
898,10,25,3,1
904,3,5,2,1
663,8,21,6,1
722,10,17,1,1
250,10,29,5,1
108,0,0,9,1
274,0,3,1,0
205,0,0,2,0
64,9,24,2,1
141,0,1,1,0
177,0,1,1,0
457,6,26,10,1
161,0,1,2,0
170,2,9,2,0
874,6,25,4,1
960,1,5,3,1
422,2,1,0,0
103,1,2,1,0
284,1,3,0,0
20,1,1,2,0
238,0,2,2,0
250,1,4,1,0
118,4,6,10,1
143,5,26,4,1
217,2,30,7,1
923,6,19,9,1
185,5,3,2,0
122,4,0,4,0
394,3,22,0,1
53,2,16,6,1
927,1,21,5,1
214,3,2,1,0
273,2,3,1,0
591,1,18,9,1
290,0,1,0,0
163,1,1,3,0
283,0,2,2,0
157,0,5,4,0
868,7,5,7,1
850,6,4,3,1
195,0,3,2,0
400,10,27,10,1
176,0,7,6,0
100,3,21,1,1
142,2,1,0,0
665,3,4,10,1
279,2,0,2,0
151,2,9,9,1
39,4,0,1,0
557,2,25,1,1
156,4,4,0,1
119,3,5,4,1
191,2,0,2,0
59,4,1,2,0
177,0,3,4,0
293,2,0,1,0
38,1,6,1,0
99,2,2,2,0
573,2,27,5,1
436,10,10,1,1
943,10,24,9,1
933,8,0,3,1
124,2,29,5,1
291,1,1,2,0
89,4,2,2,0
937,8,7,8,1
243,2,1,2,0
740,9,17,3,1
109,1,1,1,0
717,5,30,4,1
443,0,0,1,0
250,3,7,0,0
199,2,14,6,1
871,8,5,4,1
418,1,21,6,1
610,4,25,3,1
637,4,7,9,1
250,10,0,4,1
297,9,14,3,1
593,8,15,3,1
431,6,20,10,1
490,5,7,7,1
108,10,20,5,1
131,1,0,1,0
254,1,1,0,0
94,9,7,1,1
748,3,22,3,1
275,0,9,1,0
745,10,18,6,1
156,1,3,2,0
331,3,1,5,1
237,0,3,2,0
232,2,4,2,0
115,0,3,0,0
297,5,2,0,0
60,1,3,0,0
25,0,2,0,0
260,2,10,2,0
490,1,2,6,0
623,3,7,2,1
40,3,9,0,0
704,2,9,10,1
102,6,19,7,1
477,10,15,8,1
92,1,3,1,0
257,1,1,2,0
343,5,5,0,0
163,5,0,1,0
231,1,3,4,0
376,0,7,5,1
714,10,19,3,1
97,2,6,8,1
252,2,26,6,1
480,2,3,0,0
74,0,2,0,0
135,5,3,0,0
167,2,13,1,1
640,9,15,8,1
90,2,1,1,0
687,2,23,3,1
166,1,2,0,0
379,2,11,8,1
469,0,10,3,1
507,3,3,10,1
810,7,8,9,1
679,8,7,10,1
491,3,3,1,0
280,2,3,2,0
502,10,27,6,1
249,1,3,1,0
958,7,26,7,1
646,4,5,7,1
218,6,18,9,1
132,2,2,6,0
79,1,3,3,0
156,2,2,5,0
257,4,3,1,0
229,2,3,0,0
143,0,5,8,1
794,4,1,0,1
131,10,16,7,1
732,4,11,1,1
76,0,7,6,0
400,3,22,10,1
60,1,2,2,0
242,1,1,4,0
300,10,30,7,1
888,2,10,0,1
519,6,8,6,1
340,0,2,2,0
744,10,3,7,1
95,6,8,7,1
36,0,3,2,0
336,4,2,0,0
47,5,0,0,0
375,3,3,3,1
101,5,0,8,1
142,0,2,0,0
196,1,2,6,0
113,3,3,1,0
358,0,21,6,1
501,2,9,8,1
172,2,11,10,1
184,0,4,0,0
935,5,18,9,1
860,9,13,10,1
760,10,9,7,1
208,2,8,1,0
56,2,3,0,0
205,2,1,2,0
274,2,0,1,0
28,0,1,0,0
197,5,0,5,0
179,0,3,0,0
76,9,14,10,1
278,10,11,6,1
163,3,1,4,0
73,5,0,3,1
560,5,17,3,1
699,3,5,3,1
156,1,9,1,0
284,2,6,1,0
577,3,19,5,1
742,7,6,3,1
245,4,16,0,1
481,7,6,4,1
379,3,14,10,1
42,2,1,0,0
398,2,3,4,0
285,2,3,1,0
375,2,0,0,0
137,1,3,0,0
278,7,18,10,1
862,3,5,5,1
67,2,0,0,0
25,2,3,1,0
290,2,2,2,0
759,2,1,2,1
294,0,2,1,0
154,5,0,2,0
989,10,6,2,1
90,4,27,10,1
381,4,6,2,0
728,2,22,3,1
960,9,19,8,1
793,3,20,3,1
923,2,26,10,1
846,3,22,7,1
140,2,14,2,1
668,8,5,3,1
66,2,14,5,1
252,0,0,1,0
453,1,7,0,1
300,0,1,1,0
194,1,4,5,0
576,0,12,3,1
54,5,12,7,1
130,0,1,2,0
130,3,13,5,1
291,1,2,4,0
833,1,19,7,1
479,1,0,1,0
148,2,7,1,0
165,0,3,1,0
171,4,1,6,1
540,7,28,10,1
238,1,0,0,0
279,6,10,7,1
156,1,1,1,0
243,4,14,3,1
22,2,2,2,0
103,0,1,0,0
140,2,0,1,0
137,2,0,0,0
415,2,3,1,0
832,1,5,3,1
686,5,23,9,1
52,2,2,2,0
64,1,4,2,0
140,8,26,8,1
96,2,0,0,0
170,2,1,2,0
202,1,3,0,0
25,0,2,0,0
206,1,1,2,0
68,1,1,2,0
23,0,1,5,0
170,2,2,2,0
743,10,15,10,1
521,1,5,9,1
126,2,1,2,0
672,5,23,4,1
184,2,0,2,0
153,1,2,0,0
236,0,2,0,0
765,4,6,10,1
198,2,0,0,0
653,9,30,9,1
206,4,20,6,1
226,0,3,0,0
244,0,1,1,0
106,7,11,1,1
38,1,3,2,0
277,1,2,4,0
943,10,7,7,1
644,2,23,6,1
161,1,3,1,0
121,0,0,2,0
379,0,1,0,0
596,7,5,8,1
219,2,7,1,0
232,0,3,1,0
760,2,24,3,1
209,0,2,1,0
446,0,4,2,0
57,1,2,0,0
198,9,6,10,1
226,0,2,2,0
195,5,6,1,1
288,5,0,1,0
314,0,8,5,1
35,0,1,0,0
432,2,2,4,0
245,0,1,2,0
115,1,2,0,0
689,10,21,1,1
111,1,20,6,1
863,2,22,10,1
271,4,1,0,0
232,1,0,1,0
744,7,17,0,1
223,0,0,1,0
130,2,0,2,0
198,7,22,8,1
251,8,10,9,1
909,1,2,3,1
534,3,6,0,1
293,2,6,0,0
184,3,2,2,0
343,10,21,9,1
145,3,26,3,1
154,9,25,10,1
577,9,11,8,1
981,3,13,7,1
644,2,16,2,1
137,4,2,0,0
909,4,25,4,1
134,5,1,0,0
713,2,3,2,1
266,2,5,4,0
160,1,2,2,0
412,6,6,4,1
790,9,13,1,1
474,2,3,0,0
151,1,2,1,0
116,2,24,1,1
758,10,26,0,1
223,1,3,1,0
80,10,25,7,1
610,1,8,7,1
